Scientific Name,English Name,Family,Feeding Path,Feeding Path Level,Calcium (mg/100g),Calcium L95,Calcium U95,Iron (mg/100g),Iron L95,Iron U95,Total Omega-3 PUFA (g/100g),Omega3 L95,Omega3 U95,Protein (g/100g),Protein L95,Protein U95,Selenium (μg/100g),Selenium L95,Selenium U95,Vitamin A (μg/100g),VitaminA L95,VitaminA U95,Zinc (mg/100g),Zinc L95,Zinc U95
Colossoma macropomum,Cachama,Serrasalmidae,benthic,species,"43.6","17.8","103.8","1.09","0.51","2.44","0.28","0.10","0.78","17.6","15.5","19.7","125","45","312","14","4","47","1.43","0.94","2.22"
Conger orbignianus,Argentine conger,Congridae,pelagic,species,"44.1","26.7","86.9","0.851","0.485","1.384","0.3","0.1","0.8","18.6","15.8","21.4","52.3","28.1","102.7","7.4","2.2","24.5","0.556","0.410","0.786"
Conger triporiceps,Manytooth conger,Congridae,benthic,genus,"28.5","15.3","53.7","0.433","0.259","0.964","0.109","0.049","0.311","18.9","16.0","21.9","45.9","25.7","89.5","54.5","17.2","162.2","0.812","0.581","1.129"
Conodon nobilis,Barred grunt,Haemulidae,benthic,species,"99.9","20.7","207.9","1.2","0.6","2.3","0.376","0.205","0.643","19.3","17.4","21.1","26.4","14.2","50.6","12.3","4.7","30.6","0.766","0.539","1.125"
Cookeolus japonicus,Longfinned bullseye,Priacanthidae,benthic,species,"24.3","12.8","50.6","0.604","0.353","1.029","0.252","0.148","0.416","20.1","19.1","21.1","30.1","15.0","57.6","21.4","7.2","67.6","0.605","0.411","0.914"
Corniger spinosus,Spinycheek soldierfish,Holocentridae,benthic,family,"181","80","1,268","1.35","0.59","3.29","0.25","0.09","0.68","17.3","16.0","18.6","81","39","175","12.5","3.7","45.7","1.18","0.72","1.94"
Coryphaena equiselis,Pompano dolphinfish,Coryphaenidae,pelagic,species,"52.4","27.6","113.8","1.61","0.83","3.03","0.438","0.234","0.836","20.2","18.9","21.4","52.1","24.7","112.6","4.46","1.28","16.52","0.436","0.285","0.699"
Coryphaena hippurus,Common dolphinfish,Coryphaenidae,benthic,species,"61.9","27.9","135.3","1.59","0.82","3.12","0.237","0.109","0.518","20.1","18.8","21.4","51.9","21.7","122.7","2.57","0.64","11.45","0.54","0.34","0.88"
Coryphopterus dicrus,Colon goby,Gobiidae,benthic,genus,"167","61","418","1.12","0.47","2.51","0.139","0.053","0.328","18.3","16.2","20.2","12.3","4.2","35.1","70.8","13.6","328.3","2.15","1.19","3.71"
Coryphopterus eidolon,Pallid goby,Gobiidae,benthic,species,"194","98","437","1.15","0.55","2.23","0.137","0.061","0.273","17.9","15.8","19.6","25.8","12.5","56.7","107","24","421","3.16","2.00","4.85"
Coryphopterus glaucofraenum,Bridled goby,Gobiidae,benthic,genus,"166","74","326","0.879","0.427","1.743","0.0941","null","null","17.7","15.7","19.4","28.8","13.0","66.9","115","28","450","2.44","1.56","3.66"
Coryphopterus thrix,Bartail goby,Gobiidae,benthic,genus,"250","111","582","1.13","0.53","2.29","0.0918","null","null","17.6","15.6","19.4","26.6","10.8","65.4","115","26","486","3.2","2.0","5.0"
Cosmocampus albirostris,Whitenose pipefish,Syngnathidae,benthic,family,"95.1","54.8","173.4","0.782","0.470","1.399","0.118","0.070","0.203","17.9","16.8","19.1","38","20","81","72.4","24.6","202.6","1.55","1.07","2.15"
Cottunculus granulosus,Fathead,Psychrolutidae,benthic,genus,"45.2","22.2","105.8","0.469","0.226","0.973","0.457","0.172","1.447","14.8","12.5","17.8","20","7","52","18.7","3.9","89.1","0.484","0.316","0.766"
Cryptotomus roseus,Bluelip parrotfish,Scaridae,benthic,species,"117","65","245","1.11","0.58","1.89","0.129","0.071","0.230","18.3","16.3","20.1","39.1","20.2","77.6","54","16","189","2.57","1.69","4.08"
Ctenogobius boleosoma,Darter goby,Gobiidae,benthic,species,"144","75","312","0.905","0.440","1.683","0.17","0.07","0.32","18.7","16.8","20.3","20.8","9.8","50.5","128","35","438","2.51","1.66","3.68"
Ctenogobius saepepallens,Dash goby,Gobiidae,benthic,species,"229","99","504","1.06","0.51","2.11","0.108","0.043","0.237","17.9","15.9","19.6","29.2","11.6","73.7","130","34","488","2.67","1.63","4.13"
Ctenopharyngodon idella,Grass carp,Xenocyprididae,benthic,species,"23.6","11.8","60.4","0.812","0.355","1.761","0.296","0.167","0.545","17.3","15.7","19.0","34.8","17.8","71.3","15.6","3.4","60.0","0.493","0.300","1.558"
Ctenosciaena gracilicirrhus,Barbel drum,Sciaenidae,benthic,species,"175","98","350","1.08","0.56","1.97","0.267","0.136","0.465","18.7","17.5","19.9","49.7","24.9","98.9","37.7","12.5","133.0","1.28","0.89","1.87"
Cubiceps capensis,Cape fathead,Nomeidae,pelagic,species,"48.9","30.6","77.6","1.22","0.77","1.85","0.345","0.229","0.528","19.4","18.4","20.3","27.9","16.9","48.3","12","5","31","0.609","0.451","0.829"
Cyclopsetta fimbriata,Spotfin flounder,Cyclopsettidae,benthic,genus,"35.3","12.3","102.2","0.564","0.241","1.108","0.148","0.070","0.301","18.3","16.2","20.4","21.8","9.8","50.6","27.9","6.3","143.3","0.586","0.355","0.927"
Cyclothone braueri,Garrick,Gonostomatidae,pelagic,species,"128","38","824","1.22","0.36","3.79","0.226","0.061","0.865","2.06","0.00","6.17","12.8","3.3","63.2","50.3","6.0","382.4","1.65","0.69","4.30"
Cynoponticus savanna,Guayana pike-conger,Muraenesocidae,benthic,species,"67","43","110","0.828","0.528","1.274","0.178","0.078","0.469","18.2","16.1","20.7","92.5","52.5","166.3","9.07","3.35","21.78","0.963","0.731","1.309"
Cynoscion acoupa,Acoupa weakfish,Sciaenidae,pelagic,species,"51.9","30.0","101.1","0.842","0.438","1.547","0.291","0.169","0.485","19.5","18.0","21.2","22.7","11.9","48.1","7.48","2.48","25.80","0.614","0.445","0.913"
Cynoscion guatucupa,Stripped weakfish,Sciaenidae,pelagic,species,"49.1","28.1","92.3","0.819","0.426","1.444","0.338","0.172","0.559","17.8","16.2","19.6","33.2","17.2","66.3","31.2","9.7","103.3","0.715","0.518","1.026"
Cynoscion jamaicensis,Jamaica weakfish,Sciaenidae,pelagic,species,"79.3","45.0","151.5","0.987","0.527","1.687","0.365","0.220","0.573","19.1","17.7","20.8","25.1","13.5","47.9","10.6","3.9","33.5","0.788","0.575","1.138"
Cynoscion leiarchus,Smooth weakfish,Sciaenidae,benthic,species,"93.2","57.6","183.3","0.965","0.503","1.639","0.195","0.107","0.317","18.3","16.7","20.0","64.8","36.2","121.6","10.7","4.4","26.2","1.17","0.86","1.67"
Cynoscion steindachneri,Smalltooth weakfish,Sciaenidae,benthic,species,"79.6","48.9","162.6","0.858","0.433","1.558","0.159","0.082","0.271","18.4","16.8","20.1","44.7","24.9","91.1","12.5","4.7","33.4","1.17","0.84","1.68"
Cynoscion striatus,Striped weakfish,Sciaenidae,benthic,genus,"66.7","38.1","132.4","0.946","0.487","1.669","0.319","0.186","0.510","18.9","17.4","20.6","26.1","14.1","52.7","11.4","3.8","38.4","0.642","0.461","0.925"
Cynoscion virescens,Green weakfish,Sciaenidae,pelagic,species,"67.7","40.4","126.2","0.787","0.413","1.359","0.208","0.114","0.339","18.5","17.0","20.3","65.4","34.7","122.1","13.3","5.1","37.4","0.939","0.680","1.330"
Cyprinus carpio,Common carp,Cyprinidae,benthic,species,"37.3","22.1","70.3","0.673","0.433","1.027","0.368","0.211","0.664","18","17","19","3.18","1.11","10.47","11.3","3.8","30.8","0.869","0.581","1.344"
Dactylopterus volitans,Flying gurnard,Dactylopteridae,benthic,species,"30.8","13.6","95.1","0.647","0.323","1.546","0.361","0.152","1.044","19.4","17.9","20.8","20.1","9.0","46.1","30.2","9.0","104.6","0.79","0.52","1.21"
Dactyloscopus tridigitatus,Sand stargazer,Dactyloscopidae,pelagic,genus,"136","67","215","0.745","0.438","1.258","0.1","0.1","0.2","18.2","17.1","19.2","25.4","11.0","53.4","167","53","526","2.18","1.44","3.08"
Dalatias licha,Kitefin shark,Dalatiidae,benthic,species,"6.01","1.29","31.29","0.325","0.075","1.053","0.303","0.107","0.998","19.3","17.4","21.2","21.6","5.9","65.2","6.5","1.4","30.4","0.214","0.104","0.400"
Decapterus macarellus,Mackerel scad,Carangidae,pelagic,species,"472","148","1,769","7.26","2.38","19.02","0.654","0.270","1.630","21.3","19.6","23.0","84.1","20.5","289.9","2.35","0.40","13.27","0.975","0.518","1.979"
Decapterus punctatus,Round scad,Carangidae,benthic,species,"143","39","362","1.97","0.70","4.60","0.358","0.176","0.741","21.6","20.2","22.8","23.8","7.1","68.8","36.4","8.6","154.8","0.817","0.464","1.440"
Dermatolepis inermis,Marbled grouper,Epinephelidae,pelagic,species,"12.2","6.0","27.3","0.421","0.213","0.872","0.179","0.098","0.340","18.9","16.9","20.7","24.1","10.0","51.5","48","11","248","0.418","0.261","0.666"
Diaphus metopoclampus,Spothead lantern fish,Myctophidae,pelagic,species,"106","32","328","0.635","0.236","1.948","0.761","0.243","2.172","17","15","19","11.5","3.7","33.9","95.9","12.9","742.8","0.869","0.439","1.873"
Diapterus auratus,Irish mojarra,Gerreidae,benthic,species,"169","98","340","1.17","0.59","2.11","0.225","0.120","0.408","18.4","16.5","20.2","50.4","28.0","99.6","14.8","4.4","38.1","1.75","1.19","2.53"
Diapterus rhombeus,Caitipa mojarra,Gerreidae,benthic,species,"250","121","570","1.95","0.84","4.31","0.184","0.077","0.438","18.5","16.4","20.6","119","47","317","2.59","0.55","10.82","1.62","0.94","2.72"
Diastobranchus capensis,Basketwork eel,Synaphobranchidae,pelagic,species,"12.2","7.4","26.3","0.37","0.19","0.73","0.324","0.136","0.888","17.7","15.5","20.1","35.5","15.9","78.8","7.52","1.53","39.41","0.226","0.150","0.341"
Diodon holocanthus,Longspined porcupinefish,Diodontidae,benthic,species,"20.4","7.6","77.9","0.566","0.268","1.420","0.201","0.104","0.390","19.3","17.1","21.5","24.7","10.4","57.1","22.8","5.5","106.7","0.535","0.334","0.862"
Diodon hystrix,Spot-fin porcupinefish,Diodontidae,benthic,species,"16","6","54","0.538","0.255","1.321","0.153","0.078","0.295","19.4","17.2","21.6","23.5","9.7","53.9","15.6","3.8","69.9","0.52","0.33","0.84"
Diplectrum bivittatum,Dwarf sand perch,Serranidae,benthic,genus,"52.7","30.3","100.2","0.576","0.309","0.964","0.178","0.116","0.273","18.5","16.7","20.2","32.5","19.0","56.3","121","43","385","1.17","0.81","1.65"
Diplectrum formosum,Sand perch,Serranidae,pelagic,species,"45.5","21.2","110.6","0.928","0.416","1.865","0.276","0.136","0.546","19.6","17.6","21.4","21.5","9.2","50.2","46.5","12.7","213.2","0.712","0.414","1.183"
Diplectrum radiale,Pond perch,Serranidae,pelagic,species,"183","78","350","0.97","0.53","1.79","0.188","0.099","0.368","17.6","15.8","19.3","46.9","23.7","93.7","30.5","11.6","96.1","1.39","0.96","1.98"
Diplodus argenteus,South American silver porgy,Sparidae,benthic,species,"34.1","14.0","57.1","0.607","0.319","1.135","0.218","0.116","0.427","20.2","19.1","21.3","15.9","7.5","29.7","48.4","14.4","155.5","0.867","0.571","1.303"
Dipturus trachyderma,Ray,Rajidae,benthic,genus,"4.39","0.76","23.72","0.315","0.076","0.995","0.4","0.1","1.5","16.6","13.8","19.3","16.3","4.2","57.8","6.16","1.35","29.16","0.258","0.123","0.485"
Discopyge tschudii,Apron ray,Narcinidae,benthic,family,"16.4","2.1","336.5","0.857","0.082","10.406","0.27","0.10","0.74","14.6","10.6","20.1","29","5","136","5.81","0.46","69.02","0.792","0.054","9.133"
Doratonotus megalepis,Dwarf wrasse,Labridae,benthic,family,"128","74","235","0.868","0.485","1.651","0.161","0.096","0.267","18.5","15.6","20.7","19.7","10.8","37.7","163","48","637","2.04","1.34","3.22"
Dormitator maculatus,Fat sleeper,Eleotridae,benthic,genus,"90.6","51.5","209.0","0.891","0.443","1.695","0.167","0.096","0.275","18","16","20","44.5","22.5","96.4","14.7","4.5","40.1","1.63","1.14","2.44"
Dules auriga,Cochero,Serranidae,benthic,family,"95.1","33.5","203.5","0.949","0.468","1.873","0.461","0.256","0.823","17.8","16.0","19.6","27.1","13.2","56.2","29.1","8.4","112.8","0.908","0.605","1.386"
Echeneis naucrates,Live sharksucker,Echeneidae,pelagic,species,"22.5","10.7","37.1","0.59","0.32","0.99","0.128","0.068","0.250","19.8","18.7","20.8","28.3","13.0","54.4","25.8","8.3","87.1","0.702","0.456","1.085"
Echidna catenata,Chain moray,Muraenidae,benthic,species,"22.6","11.1","35.5","0.395","0.221","0.871","0.0759","null","null","18.8","16.4","21.4","41.4","20.4","88.3","44.8","10.8","165.3","0.937","0.641","1.355"
Echiodon cryomargarites,Messmate,Carapidae,pelagic,genus,"30.7","18.2","66.1","0.462","0.240","0.890","0.326","0.165","0.657","16.1","13.6","18.4","25.9","10.5","58.8","9.81","2.09","42.43","0.449","0.301","0.669"
Echiophis punctifer,Stippled spoon-nose eel,Ophichthidae,benthic,family,"21","11","34","0.408","0.244","0.887","0.0979","null","null","18.8","16.6","21.4","64.2","35.6","124.3","33.6","10.0","102.6","0.775","0.554","1.093"
Echiostoma barbatum,Threadfin dragonfish,Stomiidae,pelagic,species,"15.7","4.0","63.4","0.364","0.112","1.141","0.184","0.058","0.615","2.9","0.0","6.8","13.4","4.1","53.2","43.5","5.6","350.5","0.446","0.199","1.080"
Elacatinus figaro,Barber goby,Gobiidae,benthic,genus,"321","137","774","1.25","0.59","2.62","0.102","0.039","0.238","17.7","15.7","19.5","26.3","9.3","69.6","138","32","576","3.43","2.02","5.49"
Elagatis bipinnulata,Rainbow runner,Carangidae,benthic,species,"16.7","7.8","29.9","0.662","0.361","1.202","0.214","0.129","0.359","20.8","19.7","21.8","26.7","13.8","50.7","26","9","73","0.384","0.262","0.578"
Electrona risso,Electric lantern fish,Myctophidae,pelagic,species,"172","54","509","0.912","0.350","2.904","0.344","0.128","0.907","16.1","14.2","18.0","23.7","7.4","71.7","35.7","4.7","258.7","1.05","0.53","2.25"
Elops saurus,Ladyfish,Elopidae,benthic,species,"22.2","10.7","44.5","0.569","0.300","0.970","0.15","0.08","0.27","17.7","15.5","20.7","20.8","10.2","44.4","34.3","11.0","111.0","0.654","0.437","1.015"
Emblemariopsis signifer,Brazilian glass blenny,Chaenopsidae,pelagic,genus,"246","112","535","0.986","0.519","1.861","0.104","0.047","0.222","17.9","16.5","19.1","13.3","5.1","36.2","533","144","1,986","2.67","1.61","4.23"
Enchelycore anatina,Fangtooth moray,Muraenidae,pelagic,species,"43","26","85","0.798","0.453","1.327","0.248","0.111","0.634","18.7","16.6","21.2","35.8","18.4","77.2","8.77","2.53","31.31","0.572","0.422","0.812"
Enchelycore carychroa,Chestnut moray,Muraenidae,pelagic,genus,"176","97","330","1.25","0.74","2.12","0.185","0.080","0.494","17.8","15.5","20.3","43.7","22.0","98.8","39.1","10.9","133.7","1.09","0.77","1.56"
Enchelycore nigricans,Viper moray,Muraenidae,pelagic,genus,"18","9","34","0.493","0.271","0.927","0.155","0.066","0.436","19.3","17.1","21.8","21.7","10.5","46.6","53.8","15.0","188.7","0.566","0.372","0.856"
Engraulis anchoita,Argentine anchovy,Engraulidae,pelagic,genus,"188","80","437","1.24","0.60","3.01","0.767","0.458","1.328","18.1","16.9","19.5","16.7","7.4","37.1","20","4","91","1.34","0.85","2.09"
Engraulis eurystole,Silver anchovy,Engraulidae,pelagic,genus,"364","152","917","1.51","0.70","3.62","0.607","0.318","1.190","17.9","16.6","19.3","42.9","17.5","109.5","22.7","4.7","103.7","1.71","1.03","2.85"
Epinephelus adscensionis,Rock hind,Epinephelidae,benthic,species,"86.2","37.2","188.8","0.991","0.462","2.360","0.203","0.104","0.371","17.7","16.1","19.2","71.6","34.9","165.7","32.5","8.0","126.3","1.24","0.78","2.01"
Epinephelus guttatus,Red hind,Epinephelidae,benthic,species,"21","10","46","0.452","0.243","0.903","0.126","0.078","0.201","18.5","17.0","19.9","47.2","27.8","83.6","141","40","485","1.15","0.81","1.60"
Epinephelus itajara,Atlantic goliath grouper,Epinephelidae,pelagic,species,"7.75","2.67","16.99","0.365","0.171","0.783","0.169","0.084","0.334","19.9","18.3","21.5","25.9","11.7","60.3","40.7","8.5","195.4","0.626","0.390","0.977"
Epinephelus marginatus,Dusky grouper,Epinephelidae,benthic,species,"8.45","3.09","17.95","0.361","0.182","0.786","0.187","0.101","0.362","19.5","17.9","21.0","29.3","13.7","60.8","72","16","292","0.596","0.397","0.903"
Epinephelus morio,Red grouper,Epinephelidae,pelagic,species,"9.76","3.62","22.19","0.41","0.20","0.85","0.176","0.093","0.338","19.1","17.5","20.5","30.3","14.5","64.1","65.2","15.5","263.8","0.743","0.486","1.122"
Epinephelus striatus,Nassau grouper,Epinephelidae,benthic,species,"15.2","7.2","34.8","0.444","0.224","0.890","0.106","0.063","0.178","18.4","16.8","19.9","46.3","23.9","93.4","201","51","791","0.995","0.670","1.432"
Eques lanceolatus,Jack-knifefish,Sciaenidae,benthic,species,"73.2","37.3","116.6","0.682","0.347","1.133","0.147","0.081","0.219","19.5","18.2","20.8","33.1","19.8","60.4","80.2","27.1","259.9","1.34","0.94","1.91"
Equetus punctatus,Spotted drum,Sciaenidae,benthic,species,"71.3","36.3","115.4","0.657","0.330","1.112","0.136","0.076","0.205","19.6","18.3","21.0","28.9","17.2","52.9","82.4","27.2","270.3","1.32","0.92","1.87"
Etelis oculatus,Queen snapper,Lutjanidae,pelagic,species,"20.6","8.4","56.2","0.501","0.218","1.134","0.387","0.185","0.742","18.2","16.1","20.1","21.5","8.7","53.3","7.31","1.36","42.54","0.252","0.166","0.397"
Etmopterus granulosus,Southern lanternshark,Etmopteridae,benthic,species,"7.13","1.44","36.37","0.343","0.085","1.239","0.328","0.118","1.004","19.4","16.8","21.5","12.4","3.4","39.9","20.1","4.0","113.6","0.385","0.186","0.758"
Etmopterus lucifer,Blackbelly lanternshark,Etmopteridae,pelagic,species,"8.37","1.63","45.94","0.348","0.084","1.304","0.331","0.114","1.053","19.1","16.5","21.3","10.4","2.6","35.8","31.4","5.4","200.3","0.478","0.223","0.979"
Etmopterus pusillus,Smooth lanternshark,Etmopteridae,pelagic,species,"11","2","59","0.361","0.083","1.174","0.335","0.121","1.064","19.3","16.7","21.6","12.6","3.9","37.7","19","4","88","0.336","0.161","0.660"
Etropus crossotus,Fringed flounder,Cyclopsettidae,benthic,species,"191","89","438","1.64","0.75","3.24","0.244","0.120","0.523","17.7","15.6","19.8","36.6","16.0","86.1","4.61","1.15","21.44","1.06","0.66","1.63"
Eucinostomus argenteus,Silver mojarra,Gerreidae,benthic,species,"51.4","19.0","111.5","0.642","0.289","1.253","0.216","0.105","0.433","20.1","18.1","22.1","9.44","4.21","20.40","54.2","13.4","206.5","1.2","0.7","1.9"
Eucinostomus gula,Jenny mojarra,Gerreidae,benthic,species,"41","15","82","0.587","0.266","1.134","0.224","0.114","0.430","19.8","17.8","21.8","13.7","6.2","27.5","49.3","12.6","191.8","1.22","0.77","1.92"
Eucinostomus melanopterus,Flagfin mojarra,Gerreidae,benthic,species,"117","60","236","1.11","0.58","2.04","0.365","0.198","0.650","19.5","17.6","21.3","18.3","9.5","36.3","11.8","3.7","32.6","1.01","0.70","1.44"
Eugerres brasilianus,Brazilian mojarra,Gerreidae,benthic,species,"122","60","228","0.936","0.475","1.789","0.157","0.080","0.299","18.2","16.3","20.1","51.9","25.3","110.3","11.2","2.8","37.0","0.964","0.622","1.478"
Eugerres plumieri,Striped mojarra,Gerreidae,benthic,species,"99.4","46.7","185.7","1.06","0.48","2.18","0.233","0.119","0.434","18.6","16.5","20.6","22.9","10.8","50.9","5.92","1.52","20.98","1.03","0.66","1.63"
Euthynnus alletteratus,Little tunny,Scombridae,pelagic,species,"15.6","6.9","118.0","1.86","0.70","4.94","0.228","0.133","0.398","23.1","21.1","24.8","58.4","30.9","111.8","24.3","5.5","105.8","0.487","0.245","1.888"
Evermannella balbo,Balbo sabretooth,Evermannellidae,pelagic,species,"31.2","9.6","92.5","0.361","0.122","1.129","0.104","0.027","0.322","15.8","12.8","18.4","17.1","5.3","47.5","30.1","3.3","243.9","0.456","0.244","0.911"
